"Quantity", "Refs", "Description", "Supplier-PN", "Manu-PN"
3, VOUT, CONN TERM BLOCK 2POS 5.08MM PCB, 277-1247-ND, 1729128
3, VIN, TERM BLOCK PCB, 277-10251-ND, 1987957
3, HEATSINK, HEAT SINK 15MM X 15MM X 9.5MM, ATS1263-ND, ATS-55150D-C2-R0
