"Quantity", "Refs", "Description", "Supplier-PN", "Manu-PN"
1,    R1,    RES 220 OHM 1/4W 1% AXIAL, S220CACT-ND, RNMF14FTC220R
1,    C2,    CAP ALUM 1000UF 20% 35V RADIAL, 493-6822-ND, UHW1V102MHD
1,    U1,    IC REG LDO 5V 1.5A TO220AB, 497-1404-5-ND, L4940V5
1,    U1',   IC REG LDO 5V 1A TO220-3, LM7805CT-ND, LM7805CT
1,    -,     XFRMR TOROIDAL 10VA CHAS MOUNT, 1295-1052-ND, 62041
